listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
106406,25,1,Brian B.,Enjoyed our stay,5,2017-04-03T00:00:00.000+0000,VRBO,2017-05-13T02:03:00.000+0000
106406,25,2,Terry G.,Fantastic Condo in the Harbor!,5,2017-01-01T00:00:00.000+0000,VRBO,2017-03-21T13:31:00.000+0000
106406,25,3,Kathrine B.,Great cindi,5,2016-11-20T00:00:00.000+0000,VRBO,2016-11-28T14:24:00.000+0000
106406,25,4,Paula M.,Great vacation home,4,2016-10-24T00:00:00.000+0000,VRBO,2016-11-23T16:20:00.000+0000
106406,25,5,Angela L.,Peaceful Coastal Retreat,4,2016-08-08T00:00:00.000+0000,VRBO,2016-08-22T14:02:50.573+0000
106406,25,6,Tanya B.,Great Condo on the Water!,5,2016-07-16T00:00:00.000+0000,VRBO,2016-07-23T16:56:00.000+0000
106406,25,7,Esther K.,Fully loaded with every thing we needed,5,2016-07-01T00:00:00.000+0000,VRBO,2016-07-18T23:33:00.000+0000
106406,25,8,Julia H.,Oxnard marina condo - very nice,5,2016-05-01T00:00:00.000+0000,VRBO,2016-05-20T14:50:00.000+0000
106406,25,9,Mark G.,Awesome Rental ,5,2015-11-18T00:00:00.000+0000,VRBO,2015-11-25T17:59:21.060+0000
106406,25,10,David J.,"Beautiful, homely comfortable fully equipped condo in a stunning location",5,2015-10-31T00:00:00.000+0000,VRBO,2015-11-15T16:36:35.197+0000
106406,25,11,Larry & Maria S.,Perfect for Two,5,2015-09-19T00:00:00.000+0000,VRBO,2015-10-04T14:41:29.240+0000
106406,25,12,Mary T.,relief from hot texas,4,2015-07-16T00:00:00.000+0000,VRBO,2015-08-08T14:14:58.997+0000
106406,25,13,MC,Harbor Retreat,5,2015-06-08T00:00:00.000+0000,VRBO,2015-06-30T00:26:00.957+0000
106406,25,14,janikens,Great little find!,5,2015-04-29T00:00:00.000+0000,VRBO,2015-05-12T03:17:10.733+0000
106406,25,15,Banjo,What a gem!,5,2015-04-21T00:00:00.000+0000,VRBO,2015-05-05T13:48:16.137+0000
106406,25,16,Tri S.,Perfect place for a vacation/retreat ,5,2015-02-01T00:00:00.000+0000,VRBO,2015-03-03T05:47:21.350+0000
106406,25,17,Diane M.,Carefree and refreshing!,5,2014-12-18T00:00:00.000+0000,VRBO,2015-01-15T05:21:41.823+0000
106406,25,18,Beverly,great vacation,5,2014-12-04T00:00:00.000+0000,VRBO,2014-12-14T06:58:06.150+0000
106406,25,19,Tere,Lovely,4,2012-05-11T00:00:00.000+0000,VRBO,2012-05-23T20:36:20.407+0000
106406,25,20,Texas T&D,A Wonderful Getaway...!,5,2012-05-02T00:00:00.000+0000,VRBO,2012-05-11T01:20:29.850+0000
106406,25,21,Cindy,Great property!,5,2010-12-26T00:00:00.000+0000,VRBO,2011-01-04T00:35:51.773+0000
106406,25,22,MARIE R.,"The place was wonderful, ...",5,2007-12-17T00:00:00.000+0000,VRBO,2007-12-18T05:44:18.000+0000
106406,25,23,Dan & Stella,We thoroughly enjoyed our...,5,2007-10-22T00:00:00.000+0000,VRBO,2007-10-22T20:26:43.000+0000
106406,25,24,VRBORORG109844,Our recent stay at Channe...,5,2007-10-10T00:00:00.000+0000,VRBO,2007-10-10T19:49:49.000+0000
106406,25,25,VRBORORG80783,What a wonderful location...,5,2007-03-27T00:00:00.000+0000,VRBO,2007-03-27T16:46:33.000+0000
737844,41,1,Joan W.,Quiet location,4,2017-06-03T00:00:00.000+0000,VRBO,2017-06-06T19:44:00.000+0000
737844,41,2,Rebecca Y.,Wonderful,5,2017-04-29T00:00:00.000+0000,VRBO,2017-05-07T01:26:00.000+0000
737844,41,3,Bob Y.,fun beach house,4,2017-04-20T00:00:00.000+0000,VRBO,2017-05-04T14:03:00.000+0000
737844,41,4,Aggi O.,Cozy Cottage,4,2017-04-14T00:00:00.000+0000,VRBO,2017-04-18T22:22:00.000+0000
737844,41,5,Jeremy P.,Great time at the beach!,5,2017-04-12T00:00:00.000+0000,VRBO,2017-04-18T14:54:00.000+0000
737844,41,6,Amy C.,Perfect family getaway,5,2017-03-18T00:00:00.000+0000,VRBO,2017-03-23T18:48:00.000+0000
737844,41,7,Lindsay C.,Wonderful place to stay!,5,2017-03-06T00:00:00.000+0000,VRBO,2017-03-11T05:59:00.000+0000
737844,41,8,Sandra F.,Very nice!,5,2017-02-12T00:00:00.000+0000,VRBO,2017-02-26T03:40:00.000+0000
737844,41,9,Gill L.,Great house for a family get together,4,2017-02-15T00:00:00.000+0000,VRBO,2017-02-26T00:18:00.000+0000
737844,41,10,Stephen H.,Nice modern well kept home that is close to beach.,5,2017-02-04T00:00:00.000+0000,VRBO,2017-02-13T17:58:00.000+0000
737844,41,11,SarahB,Great house for myself and family,5,2017-01-09T00:00:00.000+0000,VRBO,2017-01-20T19:48:12.580+0000
737844,41,12,Doug D.,Fantastic location. Beautifully kept. So relaxing,5,2017-01-05T00:00:00.000+0000,VRBO,2017-01-09T19:26:00.000+0000
737844,41,13,Bonita S.,A snug beach house,4,2016-12-27T00:00:00.000+0000,VRBO,2017-01-05T23:04:00.000+0000
737844,41,14,Preacher,Beautiful house-great weekend,5,2016-11-11T00:00:00.000+0000,VRBO,2016-11-22T19:26:50.150+0000
737844,41,15,Gidget,Fantastic House for a Romantic Getaway,5,2016-10-31T00:00:00.000+0000,VRBO,2016-11-11T08:37:46.623+0000
737844,41,16,Carol S.,Amazing!!! We absolutely love this place. It feels like home to us & our friends.,5,2016-11-03T00:00:00.000+0000,VRBO,2016-11-08T16:00:00.000+0000
737844,41,17,Lisa S.,Great vacation/Great Location,4,2016-10-22T00:00:00.000+0000,VRBO,2016-11-07T22:25:00.000+0000
737844,41,18,Annalyn E.,GREAT WONDERFUL PERFECT EXPERIENCE,5,2016-10-28T00:00:00.000+0000,VRBO,2016-10-31T19:59:00.000+0000
737844,41,19,Deborah S.,Great Place for a Guys Getaway,4,2016-10-24T00:00:00.000+0000,VRBO,2016-10-28T02:42:00.000+0000
