469937,15,1,june p.,SIGNAL hILL tOWERS,5,2016-08-01T00:00:00.000+0000,VRBO,2016-09-30T16:43:00.000+0000,city,state
469937,15,2,Holly T.,Couldn't have asked for better,5,2016-01-31T00:00:00.000+0000,VRBO,2016-03-26T00:28:00.000+0000,Long Beach,CA
469937,15,3,Barbara L.,Absolutely Wonderful ,5,2015-07-30T00:00:00.000+0000,VRBO,2015-09-01T15:58:07.167+0000,Long Beach,CA
469937,15,4,Hilda,Enjoyed our stay,4,2015-06-29T00:00:00.000+0000,VRBO,2015-08-09T14:26:26.420+0000,Long Beach,CA
469937,15,5,Ann K.,Signal Hill Gem,5,2015-03-31T00:00:00.000+0000,VRBO,2015-05-13T00:56:28.840+0000,Long Beach,CA
469937,15,6,Eric,Perfection,5,2014-09-01T00:00:00.000+0000,VRBO,2014-11-13T00:13:32.727+0000,Long Beach,CA
469937,15,7,Eric,Lovely Long Beach Accommodation,5,2014-10-01T00:00:00.000+0000,VRBO,2014-11-12T16:24:51.297+0000,Long Beach,CA
469937,15,8,Coach,Lovely Home away from Home :-),5,2014-05-11T00:00:00.000+0000,VRBO,2014-06-23T15:46:52.847+0000,Long Beach,CA
469937,15,9,Holger V.,absolutely TOP,5,2013-09-26T00:00:00.000+0000,VRBO,2013-10-11T08:04:29.920+0000,Long Beach,CA
469937,15,10,William H.,Long Beach/Signal Hill Condo Stay,5,2013-07-03T00:00:00.000+0000,VRBO,2013-07-17T20:05:22.793+0000,Long Beach,CA
469937,15,11,Jeanette M.,Fantastic Stay :),5,2013-07-09T00:00:00.000+0000,VRBO,2013-07-17T15:23:16.730+0000,Long Beach,CA
469937,15,12,Rob B.,Wonderful Experience,5,2013-06-08T00:00:00.000+0000,VRBO,2013-06-14T16:37:41.357+0000,Long Beach,CA
469937,15,13,tony s.,wonderful stay,5,2013-05-25T00:00:00.000+0000,VRBO,2013-06-10T20:10:39.663+0000,Long Beach,CA
469937,15,14,Lottie,Perfect!!!!,5,2013-05-01T00:00:00.000+0000,VRBO,2013-05-20T16:57:26.407+0000,Long Beach,CA
469937,15,15,Jim,Great Stay!!,5,2013-04-19T00:00:00.000+0000,VRBO,2013-05-09T17:10:39.987+0000,Long Beach,CA
